County,County Code,Deaths,Population
"Halifax County, NC",37083,11,51310
"Mecklenburg County, NC",37119,71,1076837
"Nash County, NC",37127,10,93991
"New Hanover County, NC",37129,15,227198
"Robeson County, NC",37155,23,132606
"Rowan County, NC",37159,11,140644
"Vance County, NC",37181,10,44211
"Wake County, NC",37183,18,1072203
"Wayne County, NC",37191,14,124172
"Butler County, OH",39017,15,380604
"Clark County, OH",39023,10,134557
"Cuyahoga County, OH",39035,141,1248514
"Franklin County, OH",39049,125,1291981
"Hamilton County, OH",39061,74,813822
"Lucas County, OH",39095,33,430887
"Mahoning County, OH",39099,25,229796
"Montgomery County, OH",39113,41,531542
"Stark County, OH",39151,25,372542
"Summit County, OH",39153,35,541228
"Trumbull County, OH",39155,13,200380
"Oklahoma County, OK",40109,64,787958
"Tulsa County, OK",40143,61,646266
"Marion County, OR",41047,10,341286
"Multnomah County, OR",41051,18,807555
"Allegheny County, PA",42003,85,1223048
"Berks County, PA",42011,14,417854
"Dauphin County, PA",42043,18,275710
"Delaware County, PA",42045,44,564696
"Erie County, PA",42049,10,274541
"Lehigh County, PA",42077,15,366494
"Philadelphia County, PA",42101,266,1580863
"York County, PA",42133,20,446078
"Charleston County, SC",45019,42,401438
"Darlington County, SC",45031,12,67265
"Dorchester County, SC",45035,10,156456
"Florence County, SC",45041,17,138566
"Greenville County, SC",45045,29,506837
"Horry County, SC",45051,18,333268
"Lancaster County, SC",45057,10,92550
"Lexington County, SC",45063,16,290642
"Richland County, SC",45079,32,411592
"Spartanburg County, SC",45083,17,306854
"York County, SC",45091,11,266439
"Davidson County, TN",47037,86,691243
"Hamilton County, TN",47065,28,361613
"Knox County, TN",47093,26,461860
"Montgomery County, TN",47125,15,200182
"Rutherford County, TN",47149,15,317157
"Shelby County, TN",47157,179,936961
"Bell County, TX",48027,27,347833
"Bexar County, TX",48029,116,1958578
"Brazoria County, TX",48039,15,362457
"Collin County, TX",48085,20,969603
"Dallas County, TX",48113,173,2618148
"El Paso County, TX",48141,13,840410
"Fort Bend County, TX",48157,20,764828
"Galveston County, TX",48167,14,335036
"Gregg County, TX",48183,10,123367
"Harris County, TX",48201,321,4652980
"Hidalgo County, TX",48215,18,860661
"Jefferson County, TX",48245,22,256299
"Lubbock County, TX",48303,10,305225
"McLennan County, TX",48309,14,251259
"Montgomery County, TX",48339,19,570934
"Nueces County, TX",48355,21,361221
"Potter County, TX",48375,10,120458
"Tarrant County, TX",48439,101,2054475
"Travis County, TX",48453,29,1226698
"Wilson County, TX",48493,26,49304
"Salt Lake County, UT",49035,26,1135649
"Chesterfield County, VA",51041,22,343599
"Fairfax County, VA",51059,11,1148433
"Henrico County, VA",51087,26,327898
"Prince William County, VA",51153,10,463023
"Chesapeake city, VA",51550,13,240397
"Danville city, VA",51590,12,41130
"Hampton city, VA",51650,15,134669
"Newport News city, VA",51700,20,179388
"Norfolk city, VA",51710,30,244703
"Portsmouth city, VA",51740,11,94572
"Richmond city, VA",51760,45,227032
"Roanoke city, VA",51770,11,99837
"Virginia Beach city, VA",51810,14,450435
"King County, WA",53033,53,2188649
"Pierce County, WA",53053,21,876764
"Spokane County, WA",53063,10,506152
"Yakima County, WA",53077,23,250193
"Kanawha County, WV",54039,15,183293
"Milwaukee County, WI",55079,113,952085
