County,County Code,Deaths,Population,
"Montgomery County"","" OH",39113,37,540667,
"Summit County"","" OH",39153,11,544275,
"Trumbull County"","" OH",39155,11,214296,
"Comanche County"","" OK",40031,12,119534,
"Oklahoma County"","" OK",40109,44,695706,
"Tulsa County"","" OK",40143,34,582094,
"Multnomah County"","" OR",41051,14,697799,
"Allegheny County"","" PA",42003,74,1222482,
"Berks County"","" PA",42011,10,405223,
"Dauphin County"","" PA",42043,13,263096,
"Delaware County"","" PA",42045,39,554916,
"Lehigh County"","" PA",42077,10,340848,
"Montgomery County"","" PA",42091,10,785170,
"Northampton County"","" PA",42095,10,293212,
"Philadelphia County"","" PA",42101,306,1493309,
"Providence County"","" RI",44007,12,629110,
"Charleston County"","" SC",45019,38,337147,
"Dorchester County"","" SC",45035,10,126324,
"Greenville County"","" SC",45045,17,427970,
"Horry County"","" SC",45051,10,252464,
"Richland County"","" SC",45079,34,366111,
"Spartanburg County"","" SC",45083,13,274215,
"Davidson County"","" TN",47037,56,605031,
"Hamilton County"","" TN",47065,12,324784,
"Knox County"","" TN",47093,21,419096,
"Montgomery County"","" TN",47125,11,160642,
"Rutherford County"","" TN",47149,10,243953,
"Shelby County"","" TN",47157,138,921119,
"Bell County"","" TX",48027,17,287752,
"Bexar County"","" TX",48029,83,1615210,
"Bowie County"","" TX",48037,10,90456,
"Brazoria County"","" TX",48039,10,293296,
"Dallas County"","" TX",48113,192,2291891,
"Denton County"","" TX",48121,10,609001,
"Fort Bend County"","" TX",48157,21,516564,
"Galveston County"","" TX",48167,13,283770,
"Harris County"","" TX",48201,298,3863344,
"Hidalgo County"","" TX",48215,16,715264,
"Jefferson County"","" TX",48245,20,247629,
"McLennan County"","" TX",48309,12,226741,
"Montgomery County"","" TX",48339,11,411416,
"Nueces County"","" TX",48355,12,330512,
"Tarrant County"","" TX",48439,58,1707157,
"Travis County"","" TX",48453,18,955399,
"Webb County"","" TX",48479,13,234594,
"Salt Lake County"","" UT",49035,30,983719,
"Chesterfield County"","" VA",51041,10,304636,
"Fairfax County"","" VA",51059,12,1027727,
"Montgomery County"","" VA",51121,10,91548,
"Prince William County"","" VA",51153,11,368016,
"Chesapeake city"","" VA",51550,10,217450,
"Newport News city"","" VA",51700,22,182528,
"Norfolk city"","" VA",51710,33,241248,
"Portsmouth city"","" VA",51740,12,97831,
"Richmond city"","" VA",51760,49,200201,
"Virginia Beach city"","" VA",51810,10,434732,
"King County"","" WA",53033,51,1847986,
"Pierce County"","" WA",53053,22,772484,
"Milwaukee County"","" WI",55079,93,931453,
