County,County Code,Deaths,Population,
"Calhoun County, AL",1015,11,114910,
"Jefferson County"","" AL",1073,75,662845,
"Mobile County"","" AL",1097,41,399323,
"Montgomery County"","" AL",1101,27,223548,
"Tuscaloosa County"","" AL",1125,15,164411,
"Maricopa County"","" AZ",4013,220,3004985,
"Pima County"","" AZ",4019,45,828905,
"Pulaski County"","" AR",5119,37,360312,
"Alameda County"","" CA",6001,61,1427114,
"Contra Costa County"","" CA",6013,45,936983,
"Fresno County"","" CA",6019,22,789405,
"Kern County"","" CA",6029,30,655428,
"Los Angeles County"","" CA",6037,678,9437290,
"Merced County"","" CA",6047,13,206734,
"Monterey County"","" CA",6053,19,396267,
"Orange County"","" CA",6059,63,2815933,
"Riverside County"","" CA",6065,53,1507912,
"Sacramento County"","" CA",6067,45,1206659,
"San Bernardino County"","" CA",6071,96,1681601,
"San Diego County"","" CA",6073,55,2789593,
"San Francisco County"","" CA",6075,28,774716,
"San Joaquin County"","" CA",6077,26,552424,
"San Mateo County"","" CA",6081,15,704538,
"Santa Clara County"","" CA",6085,19,1671498,
"Solano County"","" CA",6095,13,387657,
"Stanislaus County"","" CA",6099,16,438609,
"Tulare County"","" CA",6107,15,364708,
"Ventura County"","" CA",6111,12,743357,
"Adams County"","" CO",8001,13,354146,
"Denver County"","" CO",8031,32,548848,
"El Paso County"","" CO",8041,17,509044,
"Jefferson County"","" CO",8059,17,523325,
"Fairfield County"","" CT",9001,31,877043,
"Hartford County"","" CT",9003,19,853039,
"New Haven County"","" CT",9009,21,820396,
"New Castle County"","" DE",10003,17,496079,
"District of Columbia"","" DC",11001,145,570213,
"Broward County"","" FL",12011,45,1594130,
"Duval County"","" FL",12031,46,773150,
"Hillsborough County"","" FL",12057,40,984930,
"Lake County"","" FL",12069,11,205123,
"Lee County"","" FL",12071,10,431981,
"Marion County"","" FL",12083,11,254964,
"Miami-Dade County"","" FL",12086,157,2220961,
"Orange County"","" FL",12095,32,875681,
"Palm Beach County"","" FL",12099,44,1116913,
"Pinellas County"","" FL",12103,19,917379,
"Polk County"","" FL",12105,12,478047,
"Bibb County"","" GA",13021,24,154254,
"Chatham County"","" GA",13051,31,231630,
"Clayton County"","" GA",13063,14,229966,
"Cobb County"","" GA",13067,19,588871,
"DeKalb County"","" GA",13089,46,656625,
"Fulton County"","" GA",13121,107,807365,
"Gwinnett County"","" GA",13135,12,567569,
"Lowndes County"","" GA",13185,11,91472,
"Muscogee County"","" GA",13215,11,185734,
"Richmond County"","" GA",13245,13,199395,
"Honolulu County"","" HI",15003,17,878906,
"Cook County"","" IL",17031,541,5365344,
"Kane County"","" IL",17089,18,396371,
"Madison County"","" IL",17119,12,258739,
"Peoria County"","" IL",17143,11,184042,
"St. Clair County"","" IL",17163,30,256201,
"Will County"","" IL",17197,10,486207,
"Winnebago County"","" IL",17201,11,276752,
"Allen County"","" IN",18003,14,328699,
"Lake County"","" IN",18089,88,484792,
"Marion County"","" IN",18097,87,857461,
"St. Joseph County"","" IN",18141,15,264952,
"Polk County"","" IA",19153,10,370592,
"Sedgwick County"","" KS",20173,16,451808,
"Wyandotte County"","" KS",20209,31,157980,
"Fayette County"","" KY",21067,16,258704,
"Jefferson County"","" KY",21111,35,691879,
"Ascension Parish"","" LA",22005,12,74662,
"Caddo Parish"","" LA",22017,29,251876,
"East Baton Rouge Parish"","" LA",22033,49,412110,
"Jefferson Parish"","" LA",22051,28,457571,
"Orleans Parish"","" LA",22071,122,485511,
"Ouachita Parish"","" LA",22073,10,147190,
"Baltimore County"","" MD",24005,22,749425,
"Montgomery County"","" MD",24031,13,862350,
"Prince George's County"","" MD",24033,93,795048,
"Baltimore city"","" MD",24510,227,657441,
"Hampden County"","" MA",25013,14,455391,
"Suffolk County"","" MA",25025,19,689109,
"Genesee County"","" MI",26049,26,434409,
"Macomb County"","" MI",26099,20,783828,
"Oakland County"","" MI",26125,35,1188498,
"Wayne County"","" MI",26163,351,2072114,
"Hennepin County"","" MN",27053,28,1109634,
"Hinds County"","" MS",28049,40,250823,
"Jackson County"","" MO",29095,79,654073,
"St. Louis County"","" MO",29189,30,1016040,
"St. Louis city"","" MO",29510,77,350156,
"Douglas County"","" NE",31055,19,460798,
"Clark County"","" NV",32003,81,1321254,
"Camden County"","" NJ",34007,25,509410,
"Essex County"","" NJ",34013,67,789678,
"Passaic County"","" NJ",34031,11,488131,
"Bernalillo County"","" NM",35001,34,553002,
"Bronx County"","" NY",36005,88,1317895,
"Erie County"","" NY",36029,14,952546,
"Kings County"","" NY",36047,177,2447352,
"Monroe County"","" NY",36055,23,733679,
"Nassau County"","" NY",36059,23,1330815,
"New York County"","" NY",36061,64,1535624,
"Queens County"","" NY",36081,64,2208975,
"Richmond County"","" NY",36085,13,437814,
"Suffolk County"","" NY",36103,12,1406161,
"Westchester County"","" NY",36119,11,918532,
"Cumberland County"","" NC",37051,16,301608,
"Durham County"","" NC",37063,14,219811,
"Forsyth County"","" NC",37067,16,303630,
"Gaston County"","" NC",37071,13,189127,
"Guilford County"","" NC",37081,21,416459,
"Mecklenburg County"","" NC",37119,68,682071,
"New Hanover County"","" NC",37129,10,158774,
"Randolph County"","" NC",37151,11,128722,
"Robeson County"","" NC",37155,25,122514,
"Wake County"","" NC",37183,18,612728,
"Wayne County"","" NC",37191,10,113176,
"Cuyahoga County"","" OH",39035,50,1399752,
"Franklin County"","" OH",39049,39,1061223,
"Hamilton County"","" OH",39061,21,849917,
"Mahoning County"","" OH",39099,30,259145,
"Montgomery County"","" OH",39113,39,561944,
"Stark County"","" OH",39151,10,378220,
"Oklahoma County"","" OK",40109,41,657182,
"Tulsa County"","" OK",40143,37,561682,
"Multnomah County"","" OR",41051,21,657740,
"Allegheny County"","" PA",42003,52,1287247,
"Delaware County"","" PA",42045,19,550820,
"Philadelphia County"","" PA",42101,243,1520064,
"Providence County"","" RI",44007,19,616607,
"Charleston County"","" SC",45019,16,309247,
"Greenville County"","" SC",45045,18,374851,
"Orangeburg County"","" SC",45075,14,91313,
"Richland County"","" SC",45079,25,318034,
"Spartanburg County"","" SC",45083,13,251886,
"Davidson County"","" TN",47037,49,567251,
"Hamilton County"","" TN",47065,12,306915,
"Knox County"","" TN",47093,17,380010,
"Shelby County"","" TN",47157,95,893826,
"Bexar County"","" TX",48029,55,1378688,
"Dallas County"","" TX",48113,147,2197658,
"Harris County"","" TX",48201,225,3359671,
"Lubbock County"","" TX",48303,10,240776,
"McLennan County"","" TX",48309,11,211548,
"Montgomery County"","" TX",48339,18,284271,
"Smith County"","" TX",48423,12,172758,
"Tarrant County"","" TX",48439,61,1422372,
"Taylor County"","" TX",48441,10,126335,
"Travis County"","" TX",48453,20,788500,
"Salt Lake County"","" UT",49035,22,891116,
"Fairfax County"","" VA",51059,11,955629,
"Henrico County"","" VA",51087,11,257884,
"Chesapeake city"","" VA",51550,13,196035,
"Newport News city"","" VA",51700,13,180224,
"Norfolk city"","" VA",51710,22,233497,
"Portsmouth city"","" VA",51740,14,100794,
"Richmond city"","" VA",51760,51,199145,
"King County"","" WA",53033,43,1729058,
"Pierce County"","" WA",53053,19,692662,
"Kanawha County"","" WV",54039,10,201309,
"Milwaukee County"","" WI",55079,99,940529,
